pattern,direction,neckline,span,symbol,triggered,date
head_shoulders,bear,2443.60009765625,"(Timestamp('2025-06-26 00:00:00'), Timestamp('2025-06-27 00:00:00'))",NESTLEIND.NS,False,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-07-02 00:00:00'), Timestamp('2025-06-26 00:00:00'))",ONGC.NS,False,2025-07-11
double_top,bear,175.25,"(Timestamp('2023-08-17 00:00:00'), Timestamp('2023-09-05 00:00:00'))",ONGC.NS,False,2025-07-11
head_shoulders,bear,243.75,"(Timestamp('2025-06-19 00:00:00'), Timestamp('2025-07-04 00:00:00'))",ONGC.NS,False,2025-07-11
inverse_head_shoulders,bull,103.91000366210938,"(Timestamp('2025-06-20 00:00:00'), Timestamp('2025-06-23 00:00:00'))",PNB.NS,True,2025-07-11
head_shoulders,bear,111.0999984741211,"(Timestamp('2025-07-03 00:00:00'), Timestamp('2025-07-04 00:00:00'))",PNB.NS,True,2025-07-11
head_shoulders,bear,300.70001220703125,"(Timestamp('2025-06-27 00:00:00'), Timestamp('2025-07-01 00:00:00'))",POWERGRID.NS,False,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-06-19 00:00:00'), Timestamp('2025-06-18 00:00:00'))",RELIANCE.NS,False,2025-07-11
inverse_head_shoulders,bull,1797.800048828125,"(Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-16 00:00:00'))",SBILIFE.NS,False,2025-07-11
head_shoulders,bear,1855.0999755859375,"(Timestamp('2025-06-27 00:00:00'), Timestamp('2025-06-30 00:00:00'))",SBILIFE.NS,False,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-06-19 00:00:00'), Timestamp('2025-06-18 00:00:00'))",SBIN.NS,False,2025-07-11
head_shoulders,bear,824.0499877929688,"(Timestamp('2025-07-01 00:00:00'), Timestamp('2025-07-02 00:00:00'))",SBIN.NS,False,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-06-23 00:00:00'), Timestamp('2025-06-19 00:00:00'))",SHRIRAMFIN.NS,False,2025-07-11
head_shoulders,bear,698.8499755859375,"(Timestamp('2025-07-01 00:00:00'), Timestamp('2025-07-02 00:00:00'))",SHRIRAMFIN.NS,False,2025-07-11
double_bottom,bull,1143.449951171875,"(Timestamp('2023-07-19 00:00:00'), Timestamp('2023-08-04 00:00:00'))",SUNPHARMA.NS,False,2025-07-11
inverse_head_shoulders,bull,1665.0999755859375,"(Timestamp('2025-06-19 00:00:00'), Timestamp('2025-06-23 00:00:00'))",SUNPHARMA.NS,True,2025-07-11
head_shoulders,bear,1682.0,"(Timestamp('2025-06-30 00:00:00'), Timestamp('2025-07-04 00:00:00'))",SUNPHARMA.NS,True,2025-07-11
head_shoulders,bear,1126.699951171875,"(Timestamp('2025-06-27 00:00:00'), Timestamp('2025-06-30 00:00:00'))",TATACONSUM.NS,True,2025-07-11
double_bottom,bull,644.2999877929688,"(Timestamp('2023-07-21 00:00:00'), Timestamp('2023-08-09 00:00:00'))",TATAMOTORS.NS,True,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-06-23 00:00:00'), Timestamp('2025-06-20 00:00:00'))",TATAMOTORS.NS,False,2025-07-11
head_shoulders,bear,691.9000244140625,"(Timestamp('2025-06-30 00:00:00'), Timestamp('2025-07-04 00:00:00'))",TATAMOTORS.NS,False,2025-07-11
double_bottom,bull,131.9499969482422,"(Timestamp('2023-08-22 00:00:00'), Timestamp('2023-09-22 00:00:00'))",TATASTEEL.NS,True,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-06-19 00:00:00'), Timestamp('2025-06-18 00:00:00'))",TATASTEEL.NS,False,2025-07-11
head_shoulders,bear,166.14999389648438,"(Timestamp('2025-07-02 00:00:00'), Timestamp('2025-07-04 00:00:00'))",TATASTEEL.NS,True,2025-07-11
inverse_head_shoulders,bull,3393.60009765625,"(Timestamp('2025-06-23 00:00:00'), Timestamp('2025-06-24 00:00:00'))",TCS.NS,False,2025-07-11
head_shoulders,bear,3485.0,"(Timestamp('2025-07-01 00:00:00'), Timestamp('2025-07-02 00:00:00'))",TCS.NS,False,2025-07-11
double_bottom,bull,1235.800048828125,"(Timestamp('2023-08-02 00:00:00'), Timestamp('2023-08-24 00:00:00'))",TECHM.NS,False,2025-07-11
